Date,Name,Year,Letterboxd URI
2024-09-23,Whiplash,2014,https://boxd.it/7bQA
2024-09-23,Challengers,2024,https://boxd.it/zld0
2024-09-23,10 Things I Hate About You,1999,https://boxd.it/23AO
2024-09-23,Lady Bird,2017,https://boxd.it/dGNE
2024-09-23,Alien,1979,https://boxd.it/2awY
2024-09-23,American Psycho,2000,https://boxd.it/28Vs
2024-09-23,The Shining,1980,https://boxd.it/29Nu
2024-09-23,Black Swan,2010,https://boxd.it/Sw0
2024-09-23,Lost in Translation,2003,https://boxd.it/2b0E
2024-09-23,Pulp Fiction,1994,https://boxd.it/29Pq
2024-09-23,Edward Scissorhands,1990,https://boxd.it/2aZc
2024-09-23,When Harry Met Sally...,1989,https://boxd.it/29W2
2024-09-23,Back to Black,2024,https://boxd.it/BKV6
2024-09-23,Oppenheimer,2023,https://boxd.it/wUow
2024-09-23,Taxi Driver,1976,https://boxd.it/2b8y
2024-09-23,Django Unchained,2012,https://boxd.it/2cCk
2024-09-23,Prisoners,2013,https://boxd.it/4E5i
2024-09-23,Baby Driver,2017,https://boxd.it/bhF2
2024-09-23,Priscilla,2023,https://boxd.it/Cz3k
2024-09-23,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2024-09-23,Trainspotting,1996,https://boxd.it/29XY
2024-09-23,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2024-09-23,The Breakfast Club,1985,https://boxd.it/27q4
2024-09-23,La Haine,1995,https://boxd.it/2as8
2024-09-23,Babylon,2022,https://boxd.it/mM02
2024-09-23,Ex Machina,2015,https://boxd.it/7T2k
2024-09-23,Uncut Gems,2019,https://boxd.it/gXGc
2024-09-23,Pretty Woman,1990,https://boxd.it/2b6M
2024-09-23,There Will Be Blood,2007,https://boxd.it/20Z2
2024-09-23,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY
2024-09-23,Interstellar,2014,https://boxd.it/4VZ8
2024-09-23,Inception,2010,https://boxd.it/1skk
2024-09-23,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2024-09-23,Her,2013,https://boxd.it/4O24
2024-09-23,Tenet,2020,https://boxd.it/leq4
2024-09-23,Superbad,2007,https://boxd.it/20hO
2024-09-23,Longlegs,2024,https://boxd.it/KzLM
2024-09-23,Barbarian,2022,https://boxd.it/yohi
2024-09-23,Split,2016,https://boxd.it/dgSy
2024-09-23,The Departed,2006,https://boxd.it/28MA
2024-09-23,BlacKkKlansman,2018,https://boxd.it/hxL8
2024-09-23,"tick, tick... BOOM!",2021,https://boxd.it/jz2e
2024-09-23,Die Hard,1988,https://boxd.it/2a7u
2024-09-28,Bodies Bodies Bodies,2022,https://boxd.it/iRcE
2024-09-28,Infernal Affairs,2002,https://boxd.it/1Vqw
2024-10-14,The Platform 2,2024,https://boxd.it/Gz88
2024-10-16,The Substance,2024,https://boxd.it/zanS
2024-10-16,The Menendez Brothers,2024,https://boxd.it/QoHw
2024-10-16,It's What's Inside,2024,https://boxd.it/DOV4
2024-10-16,Carrie,1976,https://boxd.it/20ZQ
2024-10-16,Dinner in America,2020,https://boxd.it/oinu
2024-10-16,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS
2024-10-16,Donnie Darko,2001,https://boxd.it/2b2A
2024-10-16,Us,2019,https://boxd.it/gnV6
2024-10-16,Saving Private Ryan,1998,https://boxd.it/29ro
2024-10-16,Last Night in Soho,2021,https://boxd.it/lbJC
2025-01-29,Nickel Boys,2024,https://boxd.it/CStQ
2025-03-11,Mickey 17,2025,https://boxd.it/q1Dk
2025-05-08,Conclave,2024,https://boxd.it/AO8q
2025-05-08,Sinners,2025,https://boxd.it/KQMM
2025-05-08,Dead Poets Society,1989,https://boxd.it/2aSg
2025-05-08,Past Lives,2023,https://boxd.it/oNB8
2025-05-08,Good Will Hunting,1997,https://boxd.it/2ahY
2025-05-08,Forrest Gump,1994,https://boxd.it/728
2025-09-18,The Life of Chuck,2024,https://boxd.it/vMTu
2025-09-18,About Time,2013,https://boxd.it/43bI
2025-10-06,One Battle After Another,2025,https://boxd.it/DUHM
2025-10-06,The Long Walk,2025,https://boxd.it/mic8
2025-10-06,Weapons,2025,https://boxd.it/EMTM
