Date,Name,Year,Letterboxd URI,Rating
2023-02-26,Knives Out,2019,https://boxd.it/jWEA,4.5
2023-02-26,The Batman,2022,https://boxd.it/eDGs,4.5
2023-02-26,Get Out,2017,https://boxd.it/eOCm,4.5
2023-02-26,Inception,2010,https://boxd.it/1skk,5
2023-02-26,The Truman Show,1998,https://boxd.it/18U8,5
2023-02-26,Glass Onion,2022,https://boxd.it/oCkK,4
2023-02-26,The Menu,2022,https://boxd.it/lScm,3.5
2023-02-26,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2023-02-26,Avengers: Infinity War,2018,https://boxd.it/9vEe,4.5
2023-02-26,Black Panther,2018,https://boxd.it/8MHs,3.5
2023-02-26,Baby Driver,2017,https://boxd.it/bhF2,3
2023-02-26,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4.5
2023-02-26,Babylon,2022,https://boxd.it/mM02,3
2023-02-26,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,3.5
2023-02-26,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,2.5
2023-02-26,Nope,2022,https://boxd.it/sDCe,4
2023-02-26,The Social Network,2010,https://boxd.it/17ue,4
2023-02-26,Jojo Rabbit,2019,https://boxd.it/iEBG,4
2023-02-26,The Matrix,1999,https://boxd.it/2a1m,4
2023-02-26,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2023-02-26,Shutter Island,2010,https://boxd.it/1U82,5
2023-02-26,Thor: Ragnarok,2017,https://boxd.it/8MHi,4
2023-02-26,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3.5
2023-02-26,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3
2023-02-26,1917,2019,https://boxd.it/jj4y,3.5
2023-02-26,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3
2023-02-26,Deadpool,2016,https://boxd.it/9fOC,4
2023-02-26,The Avengers,2012,https://boxd.it/1xFW,3.5
2023-02-26,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,3.5
2023-02-26,Avatar: The Way of Water,2022,https://boxd.it/2E2E,3.5
2023-02-26,A Quiet Place,2018,https://boxd.it/fVJQ,4
2023-02-26,Nightcrawler,2014,https://boxd.it/780m,4.5
2023-02-26,It,2017,https://boxd.it/bC8e,3
2023-02-26,Doctor Strange,2016,https://boxd.it/8MH8,3.5
2023-02-26,Tenet,2020,https://boxd.it/leq4,4
2023-02-26,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2023-02-26,Captain America: Civil War,2016,https://boxd.it/89Ja,4
2023-02-26,Iron Man,2008,https://boxd.it/28dA,3.5
2023-02-26,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,4
2023-02-26,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,3
2023-02-26,Spider-Man,2002,https://boxd.it/2a8i,3.5
2023-02-26,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4.5
2023-02-26,Memento,2000,https://boxd.it/2bcK,4.5
2023-02-26,Thor: Love and Thunder,2022,https://boxd.it/mMAY,2.5
2023-02-26,Black Widow,2021,https://boxd.it/hWV8,2.5
2023-02-26,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,3.5
2023-02-26,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3
2023-02-26,Spider-Man 2,2004,https://boxd.it/2a88,4
2023-02-26,Captain Marvel,2019,https://boxd.it/9vSA,3
2023-02-26,The Suicide Squad,2021,https://boxd.it/fw6O,3.5
2023-02-26,Logan,2017,https://boxd.it/7Piy,4.5
2023-02-26,Ant-Man,2015,https://boxd.it/3vmW,3
2023-02-26,The Incredible Hulk,2008,https://boxd.it/28dU,2
2023-02-26,Iron Man 2,2010,https://boxd.it/1WZM,2.5
2023-02-26,Thor,2011,https://boxd.it/1WQU,2.5
2023-02-26,Captain America: The First Avenger,2011,https://boxd.it/28b0,3
2023-02-26,Iron Man 3,2013,https://boxd.it/2cBQ,3
2023-02-26,Thor: The Dark World,2013,https://boxd.it/2DqA,2
2023-02-26,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,3.5
2023-02-26,Eternals,2021,https://boxd.it/j36o,2.5
2023-02-26,The Amazing Spider-Man,2012,https://boxd.it/27PI,3
2023-02-26,Spider-Man 3,2007,https://boxd.it/2a7Y,3
2023-02-26,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,2.5
2023-02-26,Return of the Jedi,1983,https://boxd.it/27Vm,4
